ID Imagem,Condicao,Periodo,Afideos Reais,Afideos Detectados,TP,FP,FN,TN
img001,após a rega,manhã,9,6,6,0,3,2
img002,antes da rega,tarde,0,0,0,0,0,3
img003,após a rega,manhã,1,0,0,0,1,1
img004,antes da rega,tarde,5,2,2,0,3,6
img005,antes da rega,manhã,18,19,18,1,0,1
img006,antes da rega,tarde,11,12,11,1,0,1
img007,antes da rega,manhã,7,4,4,0,3,10
img008,após a rega,tarde,6,3,3,0,3,5
img009,após a rega,tarde,11,10,10,0,1,4
img010,antes da rega,manhã,17,21,17,4,0,10
img011,antes da rega,tarde,23,23,23,0,0,2
img012,antes da rega,tarde,19,20,19,1,0,5
img013,após a rega,tarde,5,2,2,0,3,4
img014,após a rega,tarde,3,4,3,1,0,9
img015,após a rega,manhã,22,25,22,3,0,4
img016,após a rega,manhã,3,3,3,0,0,7
img017,antes da rega,manhã,5,7,5,2,0,4
img018,antes da rega,tarde,4,1,1,0,3,7
img019,antes da rega,manhã,4,1,1,0,3,5
img020,antes da rega,manhã,23,20,20,0,3,3
img021,após a rega,tarde,13,17,13,4,0,9
img022,antes da rega,tarde,5,5,5,0,0,3
img023,antes da rega,manhã,29,33,29,4,0,5
img024,antes da rega,tarde,1,0,0,0,1,6
img025,após a rega,manhã,13,16,13,3,0,9
img026,após a rega,manhã,6,11,6,5,0,4
img027,após a rega,manhã,5,2,2,0,3,2
img028,antes da rega,tarde,17,16,16,0,1,8
img029,após a rega,tarde,20,25,20,5,0,7
img030,antes da rega,tarde,4,1,1,0,3,6
img031,após a rega,tarde,17,14,14,0,3,2
img032,antes da rega,tarde,0,3,0,3,0,8
img033,após a rega,manhã,13,11,11,0,2,8
img034,após a rega,tarde,12,9,9,0,3,1
img035,antes da rega,manhã,1,5,1,4,0,10
img036,após a rega,manhã,9,7,7,0,2,3
img037,após a rega,manhã,0,0,0,0,0,10
img038,antes da rega,tarde,19,24,19,5,0,0
img039,antes da rega,manhã,23,24,23,1,0,3
