Imagem,Período,Condição,auto,manual,vp,vn,fn,fp,Acurácia,Precisão,Recall,F1
MA_1,Manhã,Antes da Rega,0,0,,0,0.0,0.0,0.5,0.5,0.5,0.5
MA_10,Manhã,Antes da Rega,6,9,6.0,0,3.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.8
MA_11,Manhã,Antes da Rega,2,2,2.0,0,0.0,0.0,1.0,1.0,1.0,1.0
MA_2,Manhã,Antes da Rega,8,11,8.0,0,3.0,0.0,0.7272727272727273,1.0,0.7272727272727273,0.8421052631578948
MA_3,Manhã,Antes da Rega,1,0,,0,0.0,1.0,0.5,0.5,0.5,0.5
MA_4,Manhã,Antes da Rega,24,24,24.0,0,0.0,0.0,1.0,1.0,1.0,1.0
MA_5,Manhã,Antes da Rega,0,0,0.0,0,0.0,0.0,0.5,0.5,0.5,0.5
MA_6,Manhã,Antes da Rega,10,10,10.0,0,0.0,0.0,1.0,1.0,1.0,1.0
MA_7,Manhã,Antes da Rega,4,4,3.0,0,1.0,1.0,0.6,0.75,0.75,0.75
MA_8,Manhã,Antes da Rega,10,11,10.0,0,1.0,0.0,0.9090909090909091,1.0,0.9090909090909091,0.9523809523809523
MD_11,Manhã,Após a Rega,2,3,2.0,0,1.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.8
MD_12,Manhã,Após a Rega,1,1,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0
MD_13,Manhã,Após a Rega,2,3,2.0,0,1.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.8
MD_14,Manhã,Após a Rega,2,3,2.0,0,1.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.8
MD_15,Manhã,Após a Rega,11,11,10.0,0,1.0,1.0,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.9090909090909091
MD_16,Manhã,Após a Rega,1,1,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0
MD_17,Manhã,Após a Rega,5,6,5.0,0,1.0,0.0,0.8333333333333334,1.0,0.8333333333333334,0.9090909090909091
MD_18,Manhã,Após a Rega,2,2,2.0,0,0.0,0.0,1.0,1.0,1.0,1.0
MD_19,Manhã,Após a Rega,2,2,2.0,0,0.0,0.0,1.0,1.0,1.0,1.0
MD_20,Manhã,Após a Rega,0,0,0.0,0,0.0,0.0,0.5,0.5,0.5,0.5
TA_21,Tarde,Antes da Rega,4,6,4.0,0,2.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.8
TA_22,Tarde,Antes da Rega,25,25,25.0,0,0.0,0.0,1.0,1.0,1.0,1.0
TA_23,Tarde,Antes da Rega,9,10,9.0,0,1.0,0.0,0.9,1.0,0.9,0.9473684210526316
TA_24,Tarde,Antes da Rega,2,3,2.0,0,1.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.8
TA_25,Tarde,Antes da Rega,20,23,20.0,0,3.0,0.0,0.8695652173913043,1.0,0.8695652173913043,0.9302325581395349
TA_26,Tarde,Antes da Rega,8,9,8.0,0,1.0,0.0,0.8888888888888888,1.0,0.8888888888888888,0.9411764705882353
TA_27,Tarde,Antes da Rega,13,13,13.0,0,0.0,0.0,1.0,1.0,1.0,1.0
TA_28,Tarde,Antes da Rega,0,1,0.0,0,1.0,0.0,0.0,0.5,0.0,0.0
TA_29,Tarde,Antes da Rega,0,0,0.0,0,0.0,0.0,0.5,0.5,0.5,0.5
TA_30,Tarde,Antes da Rega,2,2,2.0,0,0.0,0.0,1.0,1.0,1.0,1.0
TD_31,Tarde,Após a Rega,2,3,2.0,0,1.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.8
TD_32,Tarde,Após a Rega,2,0,0.0,0,0.0,2.0,0.0,0.0,0.5,0.0
TD_33,Tarde,Após a Rega,0,0,0.0,0,0.0,0.0,0.5,0.5,0.5,0.5
TD_34,Tarde,Após a Rega,0,0,,0,,,0.5,0.5,0.5,0.5
TD_35,Tarde,Após a Rega,2,2,2.0,0,0.0,0.0,1.0,1.0,1.0,1.0
TD_36,Tarde,Após a Rega,8,10,8.0,0,2.0,0.0,0.8,1.0,0.8,0.888888888888889
TD_37,Tarde,Após a Rega,2,2,2.0,0,0.0,0.0,1.0,1.0,1.0,1.0
TD_38,Tarde,Após a Rega,4,6,4.0,0,2.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.8
TD_39,Tarde,Após a Rega,0,0,0.0,0,0.0,0.0,0.5,0.5,0.5,0.5
TD_40,Tarde,Após a Rega,2,2,2.0,0,0.0,0.0,1.0,1.0,1.0,1.0
